jaar,maand,straat,postcode,stad,aantal controles,aantal voertuigen,aantal overtredingen
2022,2,STATIONSSTRAAT,8860,LENDELEDE,1,160,12
2022,4,STATIONSSTRAAT,8860,LENDELEDE,1,137,3
2022,9,STATIONSSTRAAT,8860,LENDELEDE,1,145,8
2022,9,STATIONSSTRAAT,8860,LENDELEDE,1,209,5
2022,10,STATIONSSTRAAT,8860,LENDELEDE,1,344,10
2022,11,STATIONSSTRAAT,8860,LENDELEDE,1,127,4
2022,8,KORTRIJKSESTRAAT,8860,LENDELEDE,1,82,9
2022,9,KORTRIJKSESTRAAT,8860,LENDELEDE,1,91,20
2022,9,KORTRIJKSESTRAAT,8860,LENDELEDE,1,189,25
2022,12,KORTRIJKSESTRAAT,8860,LENDELEDE,1,119,10
2022,12,KORTRIJKSESTRAAT,8860,LENDELEDE,1,93,12
2022,10,KORTRIJKSESTRAAT,8860,LENDELEDE,2,407,38
2022,11,KORTRIJKSESTRAAT,8860,LENDELEDE,2,324,49
2022,2,HEULSESTRAAT,8860,LENDELEDE,2,124,10
2022,2,SINT-KATRIENSTEENWEG,8520,KUURNE,1,105,15
2022,4,SINT-KATRIENSTEENWEG,8520,KUURNE,1,88,17
2022,9,SINT-KATRIENSTEENWEG,8520,KUURNE,1,121,22
2022,1,RIJKSWEG,8520,KUURNE,1,480,11
2022,2,RIJKSWEG,8520,KUURNE,1,148,11
2022,2,RIJKSWEG,8520,KUURNE,1,163,9
2022,3,RIJKSWEG,8520,KUURNE,1,247,29
2022,4,RIJKSWEG,8520,KUURNE,1,153,13
2022,5,RIJKSWEG,8520,KUURNE,1,112,5
2022,8,RIJKSWEG,8520,KUURNE,1,231,9
2022,8,RIJKSWEG,8520,KUURNE,1,57,7
2022,9,RIJKSWEG,8520,KUURNE,2,318,24
2022,10,RIJKSWEG,8520,KUURNE,2,159,7
2022,3,HULSTSESTRAAT,8520,KUURNE,1,119,25
2022,9,HULSTSESTRAAT,8520,KUURNE,2,100,18
2022,12,HULSTSESTRAAT,8520,KUURNE,2,85,30
2022,4,BRUGSESTEENWEG,8520,KUURNE,1,652,3
2022,10,BRUGSESTEENWEG,8520,KUURNE,1,663,2
2022,1,TOMBROEKSTRAAT,8510,KORTRIJK,1,53,16
2022,1,TOMBROEKSTRAAT,8510,KORTRIJK,1,41,13
2022,2,TOMBROEKSTRAAT,8510,KORTRIJK,1,75,24
2022,3,TOMBROEKSTRAAT,8510,KORTRIJK,1,67,6
2022,4,TOMBROEKSTRAAT,8510,KORTRIJK,1,86,13
2022,12,TOMBROEKSTRAAT,8510,KORTRIJK,1,51,20
2022,8,TOMBROEKSTRAAT,8510,KORTRIJK,2,100,17
2022,9,TOMBROEKSTRAAT,8510,KORTRIJK,2,140,20
2022,10,TOMBROEKSTRAAT,8510,KORTRIJK,2,137,19
2022,11,TOMBROEKSTRAAT,8510,KORTRIJK,2,131,24
2022,2,OVERZETWEG,8510,KORTRIJK,1,204,22
2022,11,OVERZETWEG,8510,KORTRIJK,1,114,15
2022,12,OVERZETWEG,8510,KORTRIJK,1,145,29
2022,1,OVERZETWEG,8510,KORTRIJK,2,414,54
2022,9,OVERZETWEG,8510,KORTRIJK,2,391,42
2022,2,MARKEBEKESTRAAT,8510,KORTRIJK,1,240,16
2022,3,MARKEBEKESTRAAT,8510,KORTRIJK,1,207,11
2022,4,MARKEBEKESTRAAT,8510,KORTRIJK,1,224,28
2022,8,MARKEBEKESTRAAT,8510,KORTRIJK,1,295,15
2022,9,MARKEBEKESTRAAT,8510,KORTRIJK,2,497,48
2022,10,MARKEBEKESTRAAT,8510,KORTRIJK,2,600,46
